date,category,difficulty,bloom_level,question,acceptance_rate,ground_truth_answer
2026-02-03,Linear Systems,Medium,Apply,Systems of Linear Equations: What are the main methods for solving systems?,79,"The main methods for solving systems of linear equations are: 1) Substitution Method - solve one equation for a variable and substitute into the other equations; 2) Elimination Method (Addition/Subtraction) - add or subtract equations to eliminate variables; 3) Matrix Method - use row reduction (Gaussian elimination) on the augmented matrix to reach row echelon form or reduced row echelon form; 4) Cramer's Rule - use determinants to find solutions (only works when the coefficient matrix is square and non-singular); 5) Graphical Method - plot equations and find intersection points (practical for 2-3 variables). The choice depends on system size and structure. For large systems, matrix methods are most efficient. Systems can have one solution (consistent independent), infinitely many solutions (consistent dependent), or no solution (inconsistent)."
2026-02-02,Trigonometry,Medium,Analyze,Solving Trigonometric Equations: How do you find all solutions to trigonometric equations?,72,"To find all solutions to trigonometric equations: 1) Isolate the trigonometric function (e.g., sin(x) = k); 2) Find the principal solution(s) using inverse trig functions; 3) Use periodicity to find all solutions - for sin and cos add 2πn, for tan add πn where n is any integer; 4) Check for additional solutions within one period using reference angles and quadrant analysis; 5) Apply domain restrictions if specified. Key strategies: a) Use trig identities (Pythagorean, double angle, sum/difference) to simplify; b) Factor when possible; c) For equations like sin(2x) = k, substitute u = 2x first, then adjust the general solution; d) Verify solutions don't create undefined expressions. Example: sin(x) = 1/2 has solutions x = π/6 + 2πn and x = 5π/6 + 2πn for integer n."
2026-02-01,Algebra,Easy,Remember,Laws of Exponents: How do you apply exponent rules to simplify expressions?,92,"The fundamental laws of exponents are: 1) Product Rule: a^m · a^n = a^(m+n); 2) Quotient Rule: a^m / a^n = a^(m-n); 3) Power Rule: (a^m)^n = a^(mn); 4) Power of Product: (ab)^n = a^n · b^n; 5) Power of Quotient: (a/b)^n = a^n / b^n; 6) Zero Exponent: a^0 = 1 (a ≠ 0); 7) Negative Exponent: a^(-n) = 1/a^n; 8) Fractional Exponent: a^(m/n) = ⁿ√(a^m) = (ⁿ√a)^m. To simplify: combine like bases using product/quotient rules, eliminate negative exponents by moving factors between numerator and denominator, convert roots to fractional exponents when helpful, and simplify numerical coefficients separately from variable expressions."
2026-01-31,Calculus,Medium,Understand,Continuity and Differentiability: What's the relationship between these concepts?,81,"Continuity and differentiability are related but distinct concepts. A function f is continuous at x = a if: 1) f(a) exists, 2) lim(x→a) f(x) exists, and 3) lim(x→a) f(x) = f(a). A function is differentiable at x = a if f'(a) = lim(h→0) [f(a+h) - f(a)]/h exists. Key relationship: Differentiability implies continuity, but continuity does NOT imply differentiability. If f is differentiable at a, it must be continuous there (proof: lim(x→a) f(x) = lim(x→a) [f(x) - f(a) + f(a)] = lim(x→a) [(f(x) - f(a))/(x-a)]·(x-a) + f(a) = f'(a)·0 + f(a) = f(a)). However, continuous functions may have corners, cusps, or vertical tangents where they're not differentiable. Classic example: f(x) = |x| is continuous at x = 0 but not differentiable there (sharp corner). For a function to be differentiable, it must be smooth without breaks, jumps, corners, or vertical tangent lines."
2026-01-30,Discrete Math,Medium,Apply,Combinations and Permutations: When do you use each and how do you calculate them?,78,"Permutations are used when ORDER MATTERS; combinations when order doesn't matter. Permutations: P(n,r) = n!/(n-r)! represents arranging r objects from n distinct objects. Use for: passwords, race rankings, seating arrangements. Example: arranging 3 people from 5 = P(5,3) = 5!/2! = 60. Combinations: C(n,r) = n!/[r!(n-r)!] represents selecting r objects from n when order is irrelevant. Use for: lottery numbers, committee selection, choosing items. Example: selecting 3 people from 5 = C(5,3) = 5!/(3!2!) = 10. Key differences: C(n,r) ≤ P(n,r) always, and C(n,r) = P(n,r)/r!. Special cases: C(n,0) = 1, C(n,n) = 1, C(n,1) = n. With repetition: permutations become n^r; combinations use stars and bars: C(n+r-1, r). Circular permutations: (n-1)!/2 for necklaces (rotation and reflection)."
2026-01-29,Analysis,Hard,Analyze,Mean Value Theorem: What does MVT state and what are its implications?,62,"The Mean Value Theorem states: If f is continuous on [a,b] and differentiable on (a,b), then there exists at least one point c in (a,b) where f'(c) = [f(b) - f(a)]/(b - a). Geometric interpretation: there's at least one point where the tangent line is parallel to the secant line connecting endpoints. Implications: 1) If f'(x) = 0 for all x in (a,b), then f is constant on [a,b]; 2) If f'(x) = g'(x) for all x in (a,b), then f(x) = g(x) + C for some constant C; 3) If f'(x) > 0 on (a,b), then f is strictly increasing on [a,b]; if f'(x) < 0, then f is strictly decreasing. MVT is fundamental for proving monotonicity, bounding functions, error estimates in Taylor series, and L'Hôpital's rule. Rolle's Theorem is a special case where f(a) = f(b), guaranteeing f'(c) = 0. MVT requires both continuity on closed interval and differentiability on open interval."
2026-01-28,Sequences,Medium,Understand,Convergence of Sequences: When does a sequence converge and how do you find limits?,69,"A sequence {a_n} converges to L if for every ε > 0, there exists N such that |a_n - L| < ε for all n > N. Tests for convergence: 1) Direct limit calculation: compute lim(n→∞) a_n using algebra, L'Hôpital's rule for indeterminate forms; 2) Squeeze Theorem: if b_n ≤ a_n ≤ c_n and lim b_n = lim c_n = L, then lim a_n = L; 3) Monotone Convergence Theorem: bounded monotonic sequences converge; 4) Ratio test, root test for geometric-like sequences. Common techniques: factor out highest power in rational expressions, use standard limits (lim(1 + 1/n)^n = e, lim sin(n)/n = 0), recognize geometric sequences (r^n converges to 0 if |r| < 1). Divergence indicators: oscillation, unbounded growth, limit doesn't exist. Cauchy criterion: {a_n} converges iff for every ε > 0, exists N where |a_m - a_n| < ε for all m,n > N."
2026-01-27,Calculus,Hard,Apply,Improper Integrals: How do you evaluate integrals with infinite limits or discontinuities?,57,"Improper integrals handle infinite intervals or discontinuous integrands. Type I (infinite limits): ∫[a,∞) f(x)dx = lim(t→∞) ∫[a,t] f(x)dx; ∫(-∞,b] f(x)dx = lim(t→-∞) ∫[t,b] f(x)dx; ∫(-∞,∞) f(x)dx = ∫(-∞,c] + ∫[c,∞) (split at any c). Type II (discontinuity at point c): If f has discontinuity at a: ∫[a,b] = lim(t→a+) ∫[t,b]; at b: ∫[a,b] = lim(t→b-) ∫[a,t]; interior point c: split at c and take both limits. Convergence tests: 1) Direct evaluation - compute the limit; 2) Comparison test: if 0 ≤ f(x) ≤ g(x) and ∫g converges, then ∫f converges; 3) Limit comparison test; 4) p-test: ∫[1,∞) 1/x^p dx converges iff p > 1. Common: ∫[0,∞) e^(-x)dx = 1, ∫[1,∞) 1/x dx diverges. If any limit doesn't exist or is ±∞, the integral diverges."
2026-01-26,Linear Algebra,Medium,Understand,Eigenvalues and Eigenvectors: What do they represent and how are they found?,65,"For square matrix A, eigenvalue λ and eigenvector v satisfy Av = λv (v ≠ 0). Geometric meaning: eigenvectors are directions that remain unchanged under transformation A (only scaled by λ). To find: 1) Solve characteristic equation det(A - λI) = 0 to find eigenvalues; 2) For each λ, solve (A - λI)v = 0 to find corresponding eigenvectors. Example: A = [[3,1],[0,2]] → det([[3-λ,1],[0,2-λ]]) = (3-λ)(2-λ) = 0 → λ₁=3, λ₂=2. For λ=3: [[0,1],[0,-1]]v=0 → v₁=[1,0]ᵀ. Properties: 1) Eigenvalues of triangular matrix are diagonal entries; 2) tr(A) = Σλᵢ, det(A) = Πλᵢ; 3) A is invertible iff no eigenvalue is 0. Applications: diagonalization (A = PDP⁻¹), solving differential equations, principal component analysis, Google PageRank, stability analysis. Multiplicity: algebraic (in characteristic polynomial) vs geometric (dimension of eigenspace)."
2026-01-25,Statistics,Easy,Remember,Probability Distributions: Which distributions apply to which situations?,84,"Key probability distributions: 1) Binomial B(n,p): fixed trials n, success probability p, counting successes (coin flips, quality control); 2) Poisson Po(λ): rare events over interval, rate λ (emails per hour, defects per area); 3) Geometric Geo(p): trials until first success (rolls until six); 4) Uniform U(a,b): all outcomes equally likely over [a,b]; 5) Normal/Gaussian N(μ,σ²): continuous bell curve, many natural phenomena (heights, measurement errors), Central Limit Theorem; 6) Exponential Exp(λ): continuous waiting time for Poisson event (time between arrivals); 7) Hypergeometric: sampling without replacement (drawing cards); 8) Negative Binomial: trials until r successes. Discrete vs continuous: use PMF (probability mass function) vs PDF (probability density function). Normal approximation: use when np > 5 and n(1-p) > 5 for binomial. Standard normal Z ~ N(0,1) with Z-scores for probability lookup."
